temp_c,temp_f,pressure_hpa,humidity
2026-02-04T19:18:03 20.45,68.81,994.01,37.85
2026-02-04T19:19:49 20.39,68.7,993.99,37.47
2026-02-04T19:20:49 20.36,68.65,993.96,37.47
2026-02-04T19:21:49 20.35,68.63,993.97,37.72
2026-02-04T19:22:50 20.34,68.61,993.92,37.3
2026-02-04T19:23:50 20.32,68.58,993.93,38.08
2026-02-04T19:24:50 20.35,68.63,993.93,37.75
2026-02-04T19:25:50 20.36,68.65,993.96,37.63
2026-02-04T19:26:51 20.34,68.61,993.94,38.05
2026-02-04T19:27:51 20.33,68.59,993.92,37.87
2026-02-04T19:28:51 20.34,68.61,993.89,37.58
2026-02-04T19:29:51 20.36,68.65,993.9,37.82
